Drawing;EOAT;TON;cavitation;cycletime
PN002959_00;4;500;180;8,3
PN001075_02;4;500;180;9,3
PN000102_00;4;500;180;11,6
PN000297_01;4;500;180;13,9
PN004571_01;4;500;180;6,5
PN004571_02;4;500;180;6,5
PN008395_00;4;500;180;9
PN005636_00;4;500;180;11,4
PN006020_00;4;500;180;11,7
PN004185_01;4;500;180;12
PN006984_00;4;500;180;12,2
PN008814_01;4;500;180;6,2
PN009957_01;4;500;180;6,4
PN005419_00;4;500;180;8,2
PN006427_00;4;500;180;8,2
PN006075_00;4;500;180;10,7
PN003242_00;4;500;180;9,2
PN004110_01;4;500;180;8,6
PN300062_00;4;500;180;11,2
PN300703_00;4;500;180;11,7
PN005892_00;4;500;180;7,9
PN004724_00;4;500;180;10,2
PN006020_00;4;500;180;11,7
PN004258_02;4;500;180;8
PN008784_00;4;500;180;9
PN007921_00;4;500;180;9
PN005829_00;4;500;180;12,2
PN007964_00;4;500;180;12,7
PN006205_00;4;500;180;13,9
PN007632_00;4;500;180;15
PN003575_00;4;500;180;16,3
PN007956_00;4;500;180;16,8
